dataset,metadata,hasDocWeight,maximum,mean,minimum,standardDeviation,sum,uniqueCount
citypulse-traffic,https://w3id.org/riverbench/schema/metadata#ObjectCountStatistics,9,22,21.9981,20,0.05192677536669097,219981,
citypulse-traffic,https://w3id.org/riverbench/schema/metadata#StatementCountStatistics,11,36,36.0,36,0.0,360000,
dbpedia-live,https://w3id.org/riverbench/schema/metadata#LanguageLiteralCountStatistics,5,1333,48.6294,0,79.92369520761662,486294,270141
dbpedia-live,https://w3id.org/riverbench/schema/metadata#SimpleLiteralCountStatistics,3,0,0.0,0,0.0,0,0
dbpedia-live,https://w3id.org/riverbench/schema/metadata#QuotedTripleCountStatistics,6,0,0.0,0,0.0,0,
dbpedia-live,https://w3id.org/riverbench/schema/metadata#DatatypeLiteralCountStatistics,4,1708,108.0669,1,181.60230236533346,1080669,798768
dbpedia-live,https://w3id.org/riverbench/schema/metadata#IriCountStatistics,0,2031,422.7641,2,279.52588762257784,4227641,3163701
dbpedia-live,https://w3id.org/riverbench/schema/metadata#GraphCountStatistics,10,1,1.0,1,0.0,10000,
dbpedia-live,https://w3id.org/riverbench/schema/metadata#ObjectCountStatistics,9,2750,262.2682,1,416.3627157524555,2622682,
dbpedia-live,https://w3id.org/riverbench/schema/metadata#LiteralCountStatistics,2,2120,156.6963,1,256.1624517104527,1566963,1068951
dbpedia-live,https://w3id.org/riverbench/schema/metadata#SubjectCountStatistics,7,1449,292.8996,1,121.3346773179044,2928996,
dbpedia-live,https://w3id.org/riverbench/schema/metadata#StatementCountStatistics,11,4905,557.5053,1,529.4497090110731,5575053,
dbpedia-live,https://w3id.org/riverbench/schema/metadata#PredicateCountStatistics,8,436,43.0909,1,49.27370127349882,430909,
dbpedia-live,https://w3id.org/riverbench/schema/metadata#BlankNodeCountStatistics,1,0,0.0,0,0.0,0,
digital-agenda-indicators,https://w3id.org/riverbench/schema/metadata#IriCountStatistics,0,17,16.2375,2,0.5995779765801575,162375,10172
digital-agenda-indicators,https://w3id.org/riverbench/schema/metadata#DatatypeLiteralCountStatistics,4,1,0.9498,0,0.2183574134303664,9498,8580
digital-agenda-indicators,https://w3id.org/riverbench/schema/metadata#LanguageLiteralCountStatistics,5,0,0.0,0,0.0,0,0
digital-agenda-indicators,https://w3id.org/riverbench/schema/metadata#SubjectCountStatistics,7,1,1.0,1,0.0,10000,
digital-agenda-indicators,https://w3id.org/riverbench/schema/metadata#QuotedTripleCountStatistics,6,0,0.0,0,0.0,0,
digital-agenda-indicators,https://w3id.org/riverbench/schema/metadata#SimpleLiteralCountStatistics,3,1,0.2975,0,0.4571583423716557,2975,6
digital-agenda-indicators,https://w3id.org/riverbench/schema/metadata#LiteralCountStatistics,2,2,1.2473,0,0.4664147403331072,12473,8586
digital-agenda-indicators,https://w3id.org/riverbench/schema/metadata#ObjectCountStatistics,9,9,8.2424,1,0.5042243944911793,82424,
digital-agenda-indicators,https://w3id.org/riverbench/schema/metadata#GraphCountStatistics,10,1,1.0,1,0.0,10000,
digital-agenda-indicators,https://w3id.org/riverbench/schema/metadata#StatementCountStatistics,11,9,8.2424,1,0.5042243944911793,82424,
digital-agenda-indicators,https://w3id.org/riverbench/schema/metadata#PredicateCountStatistics,8,9,8.2424,1,0.5042243944911793,82424,
digital-agenda-indicators,https://w3id.org/riverbench/schema/metadata#BlankNodeCountStatistics,1,0,0.0,0,0.0,0,
linked-spending,https://w3id.org/riverbench/schema/metadata#LiteralCountStatistics,2,16,8.6396,0,5.271993156292979,86396,32505
linked-spending,https://w3id.org/riverbench/schema/metadata#SubjectCountStatistics,7,1,1.0,1,0.0,10000,
linked-spending,https://w3id.org/riverbench/schema/metadata#StatementCountStatistics,11,23,15.8342,2,5.820164117960939,158342,
linked-spending,https://w3id.org/riverbench/schema/metadata#QuotedTripleCountStatistics,6,0,0.0,0,0.0,0,
linked-spending,https://w3id.org/riverbench/schema/metadata#SimpleLiteralCountStatistics,3,15,7.6087,0,5.277346332201441,76087,31529
linked-spending,https://w3id.org/riverbench/schema/metadata#DatatypeLiteralCountStatistics,4,2,1.0309,0,0.21574334288686642,10309,976
linked-spending,https://w3id.org/riverbench/schema/metadata#BlankNodeCountStatistics,1,1,0.9907,0,0.0959870303738996,9907,
linked-spending,https://w3id.org/riverbench/schema/metadata#ObjectCountStatistics,9,23,15.5028,1,5.4279639055542726,155028,
linked-spending,https://w3id.org/riverbench/schema/metadata#IriCountStatistics,0,30,22.6552,3,6.070775317865083,226552,10809
linked-spending,https://w3id.org/riverbench/schema/metadata#GraphCountStatistics,10,1,1.0,1,0.0,10000,
linked-spending,https://w3id.org/riverbench/schema/metadata#LanguageLiteralCountStatistics,5,0,0.0,0,0.0,0,0
linked-spending,https://w3id.org/riverbench/schema/metadata#PredicateCountStatistics,8,23,15.7827,2,5.844850785948261,157827,
lod-katrina,https://w3id.org/riverbench/schema/metadata#IriCountStatistics,0,39,17.4765,4,13.086949520419186,174765,42399
lod-katrina,https://w3id.org/riverbench/schema/metadata#LiteralCountStatistics,2,6,2.3317,1,1.488514396974379,23317,1979
lod-katrina,https://w3id.org/riverbench/schema/metadata#LanguageLiteralCountStatistics,5,0,0.0,0,0.0,0,0
lod-katrina,https://w3id.org/riverbench/schema/metadata#PredicateCountStatistics,8,8,5.2052,2,2.99297393239567,52052,
lod-katrina,https://w3id.org/riverbench/schema/metadata#BlankNodeCountStatistics,1,0,0.0,0,0.0,0,
lod-katrina,https://w3id.org/riverbench/schema/metadata#SimpleLiteralCountStatistics,3,5,0.5324,0,0.6365141318148404,5324,1255
lod-katrina,https://w3id.org/riverbench/schema/metadata#QuotedTripleCountStatistics,6,0,0.0,0,0.0,0,
lod-katrina,https://w3id.org/riverbench/schema/metadata#DatatypeLiteralCountStatistics,4,6,1.7993,0,1.93039361530233,17993,724
lod-katrina,https://w3id.org/riverbench/schema/metadata#StatementCountStatistics,11,54,19.8649,2,18.387605825392278,198649,
lod-katrina,https://w3id.org/riverbench/schema/metadata#ObjectCountStatistics,9,37,14.0706,2,12.15191407309976,140706,
lod-katrina,https://w3id.org/riverbench/schema/metadata#GraphCountStatistics,10,1,1.0,1,0.0,10000,
lod-katrina,https://w3id.org/riverbench/schema/metadata#SubjectCountStatistics,7,13,5.2444,1,4.257025797431817,52444,
muziekweb,https://w3id.org/riverbench/schema/metadata#BlankNodeCountStatistics,1,0,0.0,0,0.0,0,
muziekweb,https://w3id.org/riverbench/schema/metadata#IriCountStatistics,0,9,7.7802,5,1.384806109171967,77802,12476
muziekweb,https://w3id.org/riverbench/schema/metadata#LanguageLiteralCountStatistics,5,2,0.9263,0,0.286475670869273,9263,9194
muziekweb,https://w3id.org/riverbench/schema/metadata#LiteralCountStatistics,2,8,3.4504,2,0.5950964963768468,34504,24637
muziekweb,https://w3id.org/riverbench/schema/metadata#SubjectCountStatistics,7,1,1.0,1,0.0,10000,
muziekweb,https://w3id.org/riverbench/schema/metadata#ObjectCountStatistics,9,10,5.0942,3,0.9589193709587905,50942,
muziekweb,https://w3id.org/riverbench/schema/metadata#QuotedTripleCountStatistics,6,0,0.0,0,0.0,0,
muziekweb,https://w3id.org/riverbench/schema/metadata#PredicateCountStatistics,8,6,5.1364,3,0.9290829026518556,51364,
muziekweb,https://w3id.org/riverbench/schema/metadata#DatatypeLiteralCountStatistics,4,1,0.3332,0,0.47135735912362714,3332,3332
muziekweb,https://w3id.org/riverbench/schema/metadata#GraphCountStatistics,10,1,1.0,1,0.0,10000,
muziekweb,https://w3id.org/riverbench/schema/metadata#SimpleLiteralCountStatistics,3,6,2.1909,1,0.871927284812214,21909,12109
muziekweb,https://w3id.org/riverbench/schema/metadata#StatementCountStatistics,11,11,5.1721,3,1.0130555710325058,51721,
nanopubs,https://w3id.org/riverbench/schema/metadata#QuotedTripleCountStatistics,6,0,0.0,0,0.0,0,
nanopubs,https://w3id.org/riverbench/schema/metadata#LanguageLiteralCountStatistics,5,3,3.0,3,0.0,30000,6857
nanopubs,https://w3id.org/riverbench/schema/metadata#PredicateCountStatistics,8,21,21.0,21,0.0,210000,
nanopubs,https://w3id.org/riverbench/schema/metadata#IriCountStatistics,0,50,50.0,50,0.0,500000,73219
nanopubs,https://w3id.org/riverbench/schema/metadata#GraphCountStatistics,10,4,4.0,4,0.0,40000,
nanopubs,https://w3id.org/riverbench/schema/metadata#DatatypeLiteralCountStatistics,4,2,2.0,2,0.0,20000,15
nanopubs,https://w3id.org/riverbench/schema/metadata#ObjectCountStatistics,9,33,33.0,33,0.0,330000,
nanopubs,https://w3id.org/riverbench/schema/metadata#SimpleLiteralCountStatistics,3,2,2.0,2,0.0,20000,2
nanopubs,https://w3id.org/riverbench/schema/metadata#LiteralCountStatistics,2,7,7.0,7,0.0,70000,6874
nanopubs,https://w3id.org/riverbench/schema/metadata#SubjectCountStatistics,7,10,10.0,10,0.0,100000,
nanopubs,https://w3id.org/riverbench/schema/metadata#StatementCountStatistics,11,34,34.0,34,0.0,340000,
nanopubs,https://w3id.org/riverbench/schema/metadata#BlankNodeCountStatistics,1,0,0.0,0,0.0,0,
politiquices,https://w3id.org/riverbench/schema/metadata#LanguageLiteralCountStatistics,5,1,1.0,1,0.0,10000,9954
politiquices,https://w3id.org/riverbench/schema/metadata#PredicateCountStatistics,8,9,9.0,9,0.0,90000,
politiquices,https://w3id.org/riverbench/schema/metadata#SubjectCountStatistics,7,2,2.0,2,0.0,20000,
politiquices,https://w3id.org/riverbench/schema/metadata#IriCountStatistics,0,12,11.9998,11,0.014140721338563603,119998,10681
politiquices,https://w3id.org/riverbench/schema/metadata#SimpleLiteralCountStatistics,3,3,3.0,3,0.0,30000,1064
politiquices,https://w3id.org/riverbench/schema/metadata#ObjectCountStatistics,9,9,8.9998,8,0.014140721339066081,89998,
politiquices,https://w3id.org/riverbench/schema/metadata#BlankNodeCountStatistics,1,1,1.0,1,0.0,10000,
politiquices,https://w3id.org/riverbench/schema/metadata#LiteralCountStatistics,2,6,6.0,6,0.0,60000,22263
politiquices,https://w3id.org/riverbench/schema/metadata#DatatypeLiteralCountStatistics,4,2,2.0,2,0.0,20000,11248
politiquices,https://w3id.org/riverbench/schema/metadata#GraphCountStatistics,10,1,1.0,1,0.0,10000,
politiquices,https://w3id.org/riverbench/schema/metadata#StatementCountStatistics,11,9,9.0,9,0.0,90000,
politiquices,https://w3id.org/riverbench/schema/metadata#QuotedTripleCountStatistics,6,0,0.0,0,0.0,0,
yago-annotated-facts,https://w3id.org/riverbench/schema/metadata#DatatypeLiteralCountStatistics,4,8,1.9576,1,0.9043241896576693,19576,7332
yago-annotated-facts,https://w3id.org/riverbench/schema/metadata#GraphCountStatistics,10,1,1.0,1,0.0,10000,
yago-annotated-facts,https://w3id.org/riverbench/schema/metadata#QuotedTripleCountStatistics,6,10,2.2977,1,1.340027876575708,22977,
yago-annotated-facts,https://w3id.org/riverbench/schema/metadata#LanguageLiteralCountStatistics,5,0,0.0,0,0.0,0,0
yago-annotated-facts,https://w3id.org/riverbench/schema/metadata#SubjectCountStatistics,7,7,2.3762,2,0.526187761165157,23762,
yago-annotated-facts,https://w3id.org/riverbench/schema/metadata#SimpleLiteralCountStatistics,3,0,0.0,0,0.0,0,0
yago-annotated-facts,https://w3id.org/riverbench/schema/metadata#PredicateCountStatistics,8,3,2.61,2,0.48774993593028865,26100,
yago-annotated-facts,https://w3id.org/riverbench/schema/metadata#StatementCountStatistics,11,10,2.2977,1,1.340027876575708,22977,
yago-annotated-facts,https://w3id.org/riverbench/schema/metadata#ObjectCountStatistics,9,13,3.3009,1,1.3864916840717083,33009,
yago-annotated-facts,https://w3id.org/riverbench/schema/metadata#BlankNodeCountStatistics,1,0,0.0,0,0.0,0,
yago-annotated-facts,https://w3id.org/riverbench/schema/metadata#LiteralCountStatistics,2,8,1.9576,1,0.9043241896576693,19576,7332
yago-annotated-facts,https://w3id.org/riverbench/schema/metadata#IriCountStatistics,0,10,4.9533,3,0.9271025347824287,49533,10233
